ID,AGE_QUINTILES,CODE_GENDER,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,CNT_CHILDREN_BRACKET,CNT_FAM_MEMBERS_BRACKET,ANNUAL_INCOME_QUINTILE,NAME_INCOME_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,status
"5,126,175",3,F,Higher education,Civil marriage,1,2,1,Working,N,N,House / apartment,1,0,0,0
"5,143,327",4,F,Secondary / secondary special,Married,1,2,1,Working,N,Y,House / apartment,1,0,0,0
"5,135,925",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,Y,Y,House / apartment,0,0,0,0
"5,045,657",5,M,Lower secondary,Married,1,2,1,Pensioner,N,Y,House / apartment,0,0,0,0
"5,045,658",5,M,Lower secondary,Married,1,2,1,Pensioner,N,Y,House / apartment,0,0,0,0
"5,088,974",4,F,Secondary / secondary special,Married,1,2,1,Commercial associate,Y,N,House / apartment,1,1,0,0
"5,088,976",4,F,Secondary / secondary special,Married,1,2,1,Commercial associate,Y,N,House / apartment,1,1,0,0
"5,088,968",4,F,Secondary / secondary special,Married,1,2,1,Commercial associate,Y,N,House / apartment,1,1,0,0
"5,146,564",5,M,Secondary / secondary special,Married,1,2,1,Pensioner,N,Y,House / apartment,0,0,0,0
"5,139,376",5,F,Secondary / secondary special,Married,1,2,1,Pensioner,Y,N,House / apartment,0,0,0,0
"5,139,375",5,F,Secondary / secondary special,Married,1,2,1,Pensioner,Y,N,House / apartment,0,0,0,0
"5,132,320",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,324",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,319",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,322",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,323",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,321",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,132,326",4,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,N,Office apartment,0,0,0,0
"5,018,414",5,F,Secondary / secondary special,Married,2,3,1,Pensioner,N,Y,House / apartment,0,0,0,0
"5,090,675",2,F,Secondary / secondary special,Married,2,3,1,Working,N,N,Rented apartment,1,0,0,0
"5,090,400",2,F,Secondary / secondary special,Married,1,2,1,Working,N,N,With parents,1,0,0,1
"5,025,234",3,F,Secondary / secondary special,Separated,1,1,1,Working,N,N,Municipal apartment,1,0,0,0
"5,137,326",5,F,Higher education,Married,1,2,1,Pensioner,N,N,House / apartment,0,0,0,0
"5,137,327",5,F,Higher education,Married,1,2,1,Pensioner,N,N,House / apartment,0,0,0,0
"5,137,323",5,F,Higher education,Married,1,2,1,Pensioner,N,N,House / apartment,0,0,0,0
"5,137,322",5,F,Higher education,Married,1,2,1,Pensioner,N,N,House / apartment,0,0,0,0
"5,137,325",5,F,Higher education,Married,1,2,1,Pensioner,N,N,House / apartment,0,0,0,0
"5,100,296",5,F,Secondary / secondary special,Married,1,2,1,Pensioner,Y,N,House / apartment,0,1,0,0
"5,118,095",5,F,Secondary / secondary special,Married,1,2,1,Pensioner,Y,N,House / apartment,0,1,0,0
"5,024,890",5,M,Lower secondary,Married,1,2,1,Pensioner,Y,N,House / apartment,0,1,0,0
"5,023,065",5,F,Higher education,Married,1,2,1,Pensioner,N,Y,House / apartment,0,1,0,0
"5,023,070",5,F,Higher education,Married,1,2,1,Pensioner,N,Y,House / apartment,0,1,0,0
"5,023,068",5,F,Higher education,Married,1,2,1,Pensioner,N,Y,House / apartment,0,1,0,0
"5,023,067",5,F,Higher education,Married,1,2,1,Pensioner,N,Y,House / apartment,0,1,0,0
"5,023,069",5,F,Higher education,Married,1,2,1,Pensioner,N,Y,House / apartment,0,1,0,0
"5,105,390",5,F,Secondary / secondary special,Married,1,2,1,Pensioner,N,Y,House / apartment,0,0,0,0
